Origin:41.000:-24.000:0.031
Angles:0.000:-9.783:0.000
Velocity:0.000:0.000:0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.809:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
